0,1839535,1,0;0,1447467,0,864132,8,04415E-05;0,09839297,0,7345452,0,0001366261;0,0533432,0,607615,0,0001867137;0,0,4837435,0,0002001992;0,01200134,0,3503781,0,0002202182;0,04442168,0,2227076,0,0002518955;0,1059476,0,109525,0,0002974919;0,1981297,0,02255963,0,0003509339;0,3211589,0,0,0004307063;0,4431638,0,0309935,0,0005076765;0,5430998,0,1092419,0,000562604;0,6044557,0,2195576,0,0005855457;0,6172963,0,3431885,0,0005778332;0,5950417,0,4633842,0,0005384315;0,5432552,0,5736275,0,0004758055;0,4624707,0,6666753,0,0003991474;0,3607593,0,7404152,0,0003071952;0,257602,0,8180878,0,0001920681;0,1406844,0,8902395,2,942208E-05;Water
0,1183227,0,9766006,1,74884E-05;0,1261003,0,850294,0,0001565652;0,1268482,0,7299256,0,0002813668;0,1000461,0,6141558,0,0003598096;0,05448001,0,5030127,0,0003710692;0,01670591,0,3878509,0,0003571021;0,0,2669665,0,0003419877;0,003673117,0,143343,0,0003183683;0,05370044,0,03241796,0,00031882;0,166444,0,0,0003715163;0,275053,0,04983292,0,0004395485;0,3581311,0,135927,0,0004952468;0,4096311,0,2427737,0,0005322942;0,4104142,0,3595072,0,0005399443;0,377924,0,4694699,0,0005199135;0,3212139,0,5675204,0,0004704765;0,2502189,0,6562363,0,0003970015;0,178514,0,7468482,0,0003001626;0,1404864,0,8606321,0,0001813868;0,11442,1,0;Water
0,2618967,0,9371591,6,969683E-05;0,2225888,0,7998258,0,0002024321;0,1612326,0,6822348,0,00030266;0,1022292,0,5704395,0,0003801194;0,04807895,0,4605815,0,0004360277;0,01174721,0,3461355,0,0004782431;0,0,2295929,0,0005260987;0,02045144,0,1187784,0,0005912232;0,08787651,0,03452547,0,0006785618;0,1896893,0,0,0007639735;0,2911593,0,04212634,0,0008322479;0,3649924,0,1234521,0,0008582077;0,4131483,0,2209799,0,0008463541;0,4352419,0,3267199,0,0007958543;0,4262349,0,4345695,0,0007155124;0,3909824,0,5388166,0,0006136314;0,3412629,0,641376,0,0004935165;0,2950186,0,7525458,0,0003461094;0,2420217,1,0;0,2420217,1,0;Water
0,1576655,0,9302689,1,941403E-05;0,1285109,0,7868912,0,0001585411;0,1035431,0,6551386,0,000296507;0,05991161,0,5360997,0,0003940383;0,02875551,0,4184794,0,00047799;0,006537897,0,301943,0,0005422228;0,0,1845896,0,000585055;0,06348786,0,09155132,0,000663786;0,1571859,0,03328992,0,0007469131;0,2608729,0,0,0008192215;0,3696682,0,01248417,0,0008767594;0,4375668,0,1011016,0,0009148244;0,4451567,0,2103022,0,0009058134;0,4188251,0,314437,0,000860675;0,3733354,0,4118372,0,0007877281;0,3178768,0,5063184,0,0006899754;0,2598563,0,6042002,0,0005693007;0,2171828,0,7173268,0,0004247606;0,1841447,0,8420972,0,0002399243;0,1637635,1,0;Water
0,2188232,0,9890442,0,0002088512;0,1677793,0,8624585,0,0002792695;0,1229395,0,7376466,0,0003351229;0,09047452,0,6126361,0,0003940227;0,02995338,0,4975792,0,0003767693;0,0,3685171,0,0003224074;0,03182721,0,2419472,0,00033375;0,09279908,0,1317814,0,0003783361;0,1756924,0,03969298,0,0004244014;0,2923972,0,0,0004746394;0,4084454,0,04855307,0,0005212275;0,5081906,0,1250653,0,0005416216;0,5675155,0,2355089,0,000544461;0,5830872,0,3587354,0,0005273626;0,5523121,0,4778093,0,000491505;0,4849441,0,5815516,0,0004506756;0,4036602,0,6762742,0,0003984921;0,3360695,0,7817795,0,0003009414;0,2814014,0,898197,0,0001578291;0,2356429,1,0;Water
0,0,981001,0;0,04028856,0,8428218,0,0001912598;0,1029965,0,7297516,0,0003734301;0,1416829,0,6143624,0,0005143599;0,1351062,0,4954158,0,0005929685;0,09898219,0,3810958,0,0006077827;0,07381114,0,2623069,0,0005945207;0,08727436,0,1404742,0,0005777416;0,1544597,0,04113313,0,0005892337;0,2624297,0,0,0006413783;0,3685542,0,04960545,0,0007187232;0,4290487,0,1518063,0,0007810374;0,4551325,0,2646856,0,0008011278;0,444103,0,3774851,0,0007874258;0,3997483,0,4802256,0,0007438063;0,3363178,0,5730259,0,0006743571;0,260883,0,6589753,0,0005749008;0,1847066,0,7501676,0,0004437622;0,1104459,0,8523334,0,000279659;0,03191365,1,1,906497E-05;Water
0,01308213,1,0;0,05890321,0,8625213,0,0002050448;0,0787328,0,7322401,0,0003873517;0,09425611,0,6101577,0,0005407081;0,06764844,0,493097,0,0006207126;0,02511224,0,3815947,0,0006421978;0,0,2661223,0,0006635672;0,007065231,0,1505146,0,0006986861;0,05133967,0,04636424,0,0007454405;0,1511454,0,0,0008276774;0,2578628,0,0311975,0,000920122;0,3419358,0,1048171,0,0009752329;0,3665531,0,2125784,0,0009818885;0,3573532,0,3209173,0,0009518479;0,327963,0,4251648,0,0008889243;0,2848995,0,5255789,0,0007924799;0,2285015,0,6223543,0,0006662876;0,1677311,0,7220984,0,0005092255;0,1129997,0,8333109,0,0003160009;0,06878176,0,9787429,7,320142E-05;Water
0,1989395,0,9500596,0;0,1489474,0,8161466,0,000104973;0,09895892,0,6901978,0,0002036317;0,05023052,0,5684472,0,000275987;0,01055029,0,4461582,0,0003285413;0,0,3210268,0,0003847036;0,02503971,0,20141,0,0004496103;0,08341766,0,09846639,0,0005271409;0,1724331,0,0253785,0,0006158244;0,2839219,0,0,0007088392;0,3924249,0,04278793,0,0007901157;0,4697221,0,1308165,0,0008316148;0,499257,0,2419773,0,0008233677;0,4855649,0,353958,0,000776008;0,4378276,0,4558053,0,0007003099;0,3764794,0,5524836,0,0006034911;0,3086017,0,6489034,0,0004836862;0,248982,0,7566638,0,0003356277;0,2004188,1,2,453353E-05;0,2004188,1,2,453353E-05;Water
0,3200316,0,883868,0,0005995583;0,2426159,0,7947145,0,0005732217;0,1823399,0,6910449,0,0006018596;0,1184286,0,5906323,0,0006112039;0,05836175,0,4874218,0,0005975243;0,01308904,0,3749932,0,0005557029;0,0,2537206,0,0005336013;0,02167095,0,1344081,0,0005302376;0,08897504,0,03790753,0,0005632575;0,198165,0,0,0006269339;0,3134899,0,01605478,0,0006884407;0,409843,0,08326512,0,0007237309;0,472799,0,1810364,0,0007259746;0,4963467,0,2930727,0,0007000529;0,4820531,0,4048421,0,0006445729;0,4528745,0,5143775,0,0005707367;0,4092664,0,6200173,0,0004717913;0,3673347,0,7292918,0,0003466353;0,367487,0,8531569,0,0001971507;0,4063508,1,0;Water
0,09488586,0,9604669,4,863718E-05;0,06378036,0,8196067,0,0001016704;0,03442249,0,6836208,0,000174883;0,01925244,0,5504723,0,0002492286;0,0,4214416,0,0003058649;0,001339593,0,2952421,0,0003703103;0,01512877,0,170032,0,0004098227;0,07103197,0,05957821,0,0004561455;0,1778401,0,002378125,0,0005316414;0,2978554,0,0,0006217337;0,4108744,0,03769749,0,0007085868;0,4914774,0,1271788,0,000766637;0,5232193,0,2415936,0,0007820887;0,5056404,0,3560933,0,0007552383;0,4597997,0,4615744,0,0006996432;0,3969839,0,5587682,0,0006153688;0,3237948,0,6522316,0,0005078809;0,2451373,0,7466687,0,0003690333;0,1779459,0,8582493,0,000198314;0,1421836,1,0;Water
