0,0,8072876,0,0002762829;0,207949,0,8300098,0,0004427508;0,4051332,0,861489,0,0005390287;0,6001487,0,8891953,0,000573662;0,7960021,0,9163839,0,0005725229;0,9929244,0,9077637,0,0005769162;0,9961543,0,7138606,0,0007327793;0,9800767,0,5287491,0,0008602828;0,9852674,0,3490475,0,0009397113;1,0,1699681,0,0009685273;0,9411638,0,0,0009885231;0,7626175,0,04895329,0,001043387;0,5849136,0,06276536,0,001033396;0,4077612,0,05514756,0,0009487369;0,2271419,0,04525799,0,000784623;0,1339214,0,1999693,0,000671375;0,1021425,0,3869628,0,0005963389;0,07877711,0,5789655,0,0004730142;0,05488947,0,7791007,0,0002836262;0,03804183,0,9750652,0;Earth
0,0,7703549,2,236334E-06;0,2038425,0,7429764,0,0001623208;0,3919543,0,740975,0,000305161;0,5719888,0,7543769,0,0003887102;0,7503415,0,771225,0,0004215046;0,9319963,0,8016069,0,0003969182;1,0,6404049,0,0005061247;0,9688207,0,4707977,0,0006416792;0,9756638,0,3088033,0,0007415352;0,9944484,0,1484912,0,0007881398;0,9308596,0,0,0008308312;0,7774521,0,06469744,0,0008639467;0,6178838,0,08718681,0,0008519499;0,4574459,0,08624141,0,0007831334;0,2944546,0,05721861,0,0006468291;0,1345832,0,1061266,0,000474899;0,1077104,0,2799026,0,0004292612;0,08710334,0,4560477,0,0003317571;0,06990568,0,6397889,0,0001861167;0,06309174,0,7816312,0;Earth
0,0,8152811,0,0001634729;0,206776,0,8255339,0,0003047993;0,401353,0,8356835,0,0003938707;0,5912443,0,8426645,0,0004374567;0,7835396,0,8469881,0,0004281944;0,9881685,0,8665213,0,0003416208;1,0,6708242,0,0004275765;0,9608353,0,4912289,0,0005883261;0,9401932,0,3190413,0,0006950378;0,9818006,0,1506497,0,000720604;0,8991109,0,0,0007720132;0,7680243,0,1236361,0,0008191695;0,5965931,0,1485625,0,0008475357;0,4271469,0,1389171,0,0008223111;0,2562457,0,1146249,0,0007296336;0,1200702,0,2213141,0,0006408207;0,0922883,0,397185,0,0005923332;0,07028373,0,5773467,0,0004971502;0,05943981,0,7673327,0,0003494972;0,02203995,0,9536419,0;Earth
0,05107452,0,9286904,0,0001264825;0,2561415,0,9490508,0,0002363785;0,4557084,0,9620992,0,0002854935;0,6573934,0,9883165,0,0002600337;0,8677759,1,0,0002043219;0,9206818,0,8101218,0,0003245411;0,912395,0,6202142,0,0004511763;0,9214208,0,4348684,0,000508984;0,9375431,0,2460685,0,0005016729;0,9423565,0,04782514,0,0004416182;0,7453357,0,02737197,0,0005258984;0,5571538,0,05724075,0,0005591313;0,3729971,0,04704955,0,0005109801;0,1880254,0,0,0003738489;0,0,03766434,0,0002167318;0,03824261,0,2518853,0,0003533491;0,03837138,0,4495966,0,0003675517;0,02653887,0,6429392,0,0002988593;0,01337876,0,8419147,0,0001538001;0,02799798,0,945365,0;Earth
0,0,9342744,7,138713E-05;0,191022,0,8948724,0,000241809;0,3737901,0,8979208,0,0003196238;0,5550273,0,9141206,0,0003290564;0,7386638,0,9076903,0,0003178601;0,8635737,0,7798243,0,0003637143;0,8126403,0,6072202,0,0005102996;0,7868871,0,4439065,0,0006302006;0,7685162,0,2856946,0,0007091171;0,7648246,0,1284665,0,0007509973;0,6767837,0,0,0008072337;0,5526152,0,1001171,0,0008169017;0,4007429,0,1318725,0,000775042;0,2420106,0,1252266,0,0006940488;0,09517856,0,1877234,0,000576315;0,08279177,0,355576,0,0005624821;0,07989791,0,5239205,0,0005060064;0,06440719,0,6964641,0,0003828609;0,04593606,0,8816476,0,0002011308;0,03961307,1,0;Earth
0,0,7918797,0;0,2055936,0,8184249,0,0001346958;0,3988022,0,8616746,0,0002259573;0,5897175,0,9008539,0,0002731081;0,7834073,0,9356687,0,0002692823;0,9819055,0,9327723,0,0002532225;1,0,7380141,0,0004077042;0,9893346,0,5548522,0,0005849259;0,9751452,0,3798515,0,0007225758;0,9702069,0,210671,0,0008290429;0,878211,0,0666433,0,0009092699;0,7079502,0,04572644,0,0009069375;0,5385543,0,04464879,0,0008510129;0,3666648,0,02979253,0,000761421;0,1906105,0,0,0006201701;0,08690677,0,1436348,0,0005175341;0,08433176,0,327902,0,0004729093;0,07070302,0,5136612,0,000372784;0,06287815,0,7057673,0,0002148057;0,05673048,0,8511194,3,784455E-05;Earth
0,0,7502912,0,0001678375;0,1999121,0,7714406,0,0002656753;0,395561,0,7919009,0,0003192801;0,5907555,0,8213809,0,0003130858;0,788888,0,8789634,0,0002113145;1,0,8905548,0,0001215653;0,9834449,0,6855936,0,0003621628;0,9536289,0,4954608,0,0005743629;0,9290788,0,3149563,0,0007393849;0,9154495,0,1392399,0,0008492928;0,8067182,0,0,0009530209;0,6341231,0,03298508,0,0009607054;0,4607643,0,04328423,0,000925091;0,2861176,0,04261016,0,0008426185;0,1085149,0,0225737,0,0006958615;0,009487727,0,1740787,0,0005784106;0,04749789,0,3566577,0,0005156854;0,0323801,0,5460877,0,0003458499;0,03367918,0,7462762,0,0001244359;0,02895665,0,7989483,0;Earth
0,0,7590321,0,000160615;0,188751,0,7777454,0,0002829024;0,3703956,0,7994658,0,0003524263;0,550725,0,8146236,0,0003759167;0,7329212,0,8198256,0,0003629897;0,9177455,0,8169137,0,0003356383;0,9919569,0,6588479,0,0004621504;0,9989514,0,4881617,0,0006016605;0,9969696,0,3216479,0,00069839;1,0,1586958,0,00076585;0,886145,0,03931923,0,0008488432;0,7232622,0,06118201,0,0008578112;0,5609677,0,04964286,0,000840276;0,3992924,0,03113467,0,0007692929;0,2347836,0,0,0006539299;0,09873706,0,09399567,0,0005213342;0,09143242,0,2673061,0,00048124;0,05685757,0,437649,0,0003638087;0,04913669,0,6184601,0,0002261055;0,05074452,0,7747751,0;Earth
0,02813025,0,8627043,0;0,2247318,0,8602948,0,0001259719;0,4125951,0,8600204,0,000206407;0,6001315,0,8594208,0,0002311677;0,7938259,0,8652681,0,0002053758;1,0,8582671,0,000133041;0,9436644,0,6697776,0,000315665;0,9049466,0,4940419,0,0004456594;0,8806835,0,3229029,0,0005138773;0,8687529,0,1497814,0,000520759;0,7823428,0,0,0005367128;0,6128277,0,0693825,0,0006132473;0,4435909,0,09620066,0,0006375248;0,2768264,0,1069383,0,000604485;0,1068872,0,1016178,0,0005222711;0,0,2342168,0,0004602029;0,02523294,0,4094525,0,0004624971;0,0196896,0,5842327,0,0003729252;0,0224709,0,7660451,0,0002113314;0,02745782,0,9034663,2,149724E-05;Earth
0,0675464,0,7331351,1,42588E-05;0,2620354,0,7417924,0,0001675851;0,443664,0,7610833,0,0002559976;0,6227965,0,7814032,0,0002844924;0,8055789,0,7958015,0,0002709763;1,0,8268943,0,0001935234;0,9670016,0,6387751,0,0003969892;0,9282508,0,4707468,0,0005735452;0,9107223,0,3136877,0,0007028486;0,9098291,0,1619401,0,0007822006;0,8105394,0,04488201,0,0008585267;0,6579168,0,05571865,0,0008691833;0,5073729,0,04879704,0,0008397375;0,3553699,0,03367363,0,0007680957;0,1986838,0,0,0006439916;0,06755378,0,0942357,0,0005499061;0,0811903,0,2583111,0,0005140988;0,06611668,0,4242519,0,0004060389;0,05347665,0,6003083,0,0002454447;0,0,7576399,0;Earth
